Table_One_Id,EmployeeId,Organization,Plot,Admitting,Team_Members,Category_Of_work,Employee_Preparedness,An_Object,Finish_Work_Date ,Subdivision,Work_Manager,Observer,Open_Single_Line_Diagram,Is_Entrusted,Start_Work,Names_Electrical_Installations,Separate_Instractions,Signature,Be_Disconnected,Outfit_Issued,Surname
248,248,Philip Morris International,№248,Magnani,"Miller,Denise",work with complete voltage relief,5/18/2016 10:19:13,Multi-storey apartment building.,5/23/2016 8:38:27,repair and construction team,NANCY PARKER,"Sadki, Nore  ",No,NANCY PARKER,5/18/2016 10:19:13,,,"Miller,Denise",,"Sadki, Nore  ",Theron
249,249,United Parcel Service,№249,Hepburn,"Miller,Tanya L.",work with partial voltage relief,5/18/2016 10:22:29,Low-rise apartment building;,5/23/2016 13:13:39,technical department,DANIEL MAHONEY,"Sahoo, Adil",Yes,DANIEL MAHONEY,5/18/2016 10:22:29,,,"Miller,Tanya L.",,"Sahoo, Adil",Wick
250,250,Target,№250,Hepburn,"Mills,Cheryl D.",work on current-carrying parts,5/18/2016 10:28:46,Residential building of a blocked development;,5/23/2016 13:29:58,repair and construction team,BROOK MANCINELLI,"Adinolfi, Wilson  K",No,BROOK MANCINELLI,5/18/2016 10:28:46,,,"Mills,Cheryl D.",,"Sahoo, Adil",Constantine
251,251,JPMorgan Chase,№251,Streisand,"Millsap,Elisa",work away from current-carrying parts,5/18/2016 10:34:31,Mid-rise apartment building;,5/23/2016 13:50:30,technical department,PHILIP GINSBURG,"Ait Sidi, Karthikeyan   ",Yes,PHILIP GINSBURG,5/18/2016 10:34:31,,,"Millsap,Elisa",,"Adinolfi, Wilson  K",Anderson
252,252,General Electric,№252,Smith,"Mohib,Mona G.",work with complete voltage relief,5/18/2016 10:47:54,Multi-storey apartment building.,5/23/2016 15:13:05,repair and construction team,DONNA LEE,"Akinkuolie, Sarah",No,DONNA LEE,5/18/2016 10:47:54,,,"Mohib,Mona G.",,"Ait Sidi, Karthikeyan   ",Telles
253,253,ExxonMobil,№253,Jackson,"Mohile,Deborah",work with partial voltage relief,5/18/2016 10:48:04,Low-rise apartment building;,5/23/2016 15:46:30,technical department,JOHN GOLDBERG,"Alagbe,Trina",Yes,JOHN GOLDBERG,5/18/2016 10:48:04,,,"Mohile,Deborah",,"Akinkuolie, Sarah",Maradona
254,254,Berkshire Hathaway,№254,Fonda,"Moloney,Megan C.",work on current-carrying parts,5/18/2016 10:56:14,Residential building of a blocked development;,5/23/2016 18:02:09,repair and construction team,ANTONIO PARRA,"Anderson, Carol ",No,ANTONIO PARRA,5/18/2016 10:56:14,,,"Moloney,Megan C.",,"Alagbe,Trina",Ronaldo
255,255,Citigroup,№255,Schell,"Moore,Linda Lea",work away from current-carrying parts,5/18/2016 11:01:31,Mid-rise apartment building;,5/23/2016 21:21:36,technical department,CHAD LAW,"Anderson, Linda  ",Yes,CHAD LAW,5/18/2016 11:01:31,,,"Moore,Linda Lea",,"Anderson, Carol ",Tal
256,256,Wells Fargo,№256,Peck,"Moore,Minyon",work with complete voltage relief,5/18/2016 11:07:19,Multi-storey apartment building.,5/24/2016 3:43:19,repair and construction team,CRISTINA REYES,"Andreola, Colby",No,CRISTINA REYES,5/18/2016 11:07:19,,,"Moore,Minyon",,"Anderson, Linda  ",Bates
257,257,AT&T,№257,Poitier,"Moran,Keyin S.",work with partial voltage relief,5/18/2016 11:17:49,Low-rise apartment building;,5/24/2016 8:48:42,technical department,HAGOP HAJIAN,"Athwal, Sam",Yes,HAGOP HAJIAN,5/18/2016 11:17:49,,,"Moran,Keyin S.",,"Andreola, Colby",Kidman
258,258,Chevron,№258,Harrison,"Morrison,Mary",work on current-carrying parts,5/18/2016 11:20:05,Residential building of a blocked development;,5/24/2016 11:23:07,repair and construction team,KEITH SANFORD,"Bachiochi, Linda",No,KEITH SANFORD,5/18/2016 11:20:05,,,"Morrison,Mary",,"Athwal, Sam",Milland
259,259,Walmart,№259,Marvin,"Murchinson,Jonathan",work away from current-carrying parts,5/18/2016 11:23:33,Mid-rise apartment building;,5/24/2016 11:53:26,technical department,JESUS PENA,"Bacong, Alejandro ",Yes,JESUS PENA,5/18/2016 11:23:33,,,"Murchinson,Jonathan",,"Bachiochi, Linda",April
260,260,ConocoPhillips,№260,Scofield,"Murguia,Janet",work with complete voltage relief,5/18/2016 11:30:23,Multi-storey apartment building.,5/24/2016 12:38:04,repair and construction team,FERNANDO DEALBA,"Baczenski, Rachael  ",No,FERNANDO DEALBA,5/18/2016 11:30:23,,,"Murguia,Janet",,"Bacong, Alejandro ",Brynner
261,261,American International Group,№261,Steiger,"Muscatine,Alison",work with complete voltage relief,5/18/2016 11:32:06,Low-rise apartment building;,5/24/2016 19:02:34,technical department,ROBERT STYLES,"Barbara, Thomas",Yes,ROBERT STYLES,5/18/2016 11:32:06,,,"Muscatine,Alison",,"Baczenski, Rachael  ",Crawford
262,262,IBM,№262,Wayne,"Musgrave,Reuben L.,Jr.",work with partial voltage relief,5/18/2016 11:35:47,Residential building of a blocked development;,5/24/2016 23:03:18,repair and construction team,PAUL CHIGNELL,"Barbossa, Hector",No,PAUL CHIGNELL,5/18/2016 11:35:47,,,"Musgrave,Reuben L.,Jr.",,"Barbara, Thomas",Wyman
263,263,Procter&Gamble,№263,Hackman,"Myers,Sam",work on current-carrying parts,5/18/2016 11:38:32,Mid-rise apartment building;,5/25/2016 10:33:04,technical department,CHRIS VEIN,"Adinolfi, Wilson  K",Yes,CHRIS VEIN,5/18/2016 11:38:32,,,"Myers,Sam",,"Barbossa, Hector",Magnani
264,264,Pfizer,№264,Brando,"Nagy,Alex G.",work away from current-carrying parts,5/18/2016 11:40:44,Multi-storey apartment building.,5/25/2016 12:50:09,repair and construction team,THOMAS CUNNANE,"Ait Sidi, Karthikeyan   ",No,THOMAS CUNNANE,5/18/2016 11:40:44,,,"Nagy,Alex G.",,"Barone, Francesco  A",Hepburn
265,265,Goldman Sachs,№265,Lemmon,"Nash,Bob J.",work with complete voltage relief,5/18/2016 11:44:10,Low-rise apartment building;,5/26/2016 13:19:42,technical department,JAY HUISH,"Akinkuolie, Sarah",Yes,JAY HUISH,5/18/2016 11:44:10,,,"Nash,Bob J.",,"Barton, Nader",Hepburn
266,266,Hewlett-Packard,№266,Nicholson,"Nash,Charles B.",work with partial voltage relief,5/18/2016 11:49:16,Residential building of a blocked development;,5/26/2016 18:41:04,repair and construction team,PATRICIA O'CONNER,"Alagbe,Trina",No,PATRICIA O'CONNER,5/18/2016 11:49:16,,,"Nash,Charles B.",,"Bates, Norman",Streisand
267,267,Apple,№267,Finch ,"Newell,Timothy",work on current-carrying parts,5/18/2016 11:50:48,Mid-rise apartment building;,5/26/2016 20:36:35,technical department,NELSON ACETO,"Anderson, Carol ",Yes,NELSON ACETO,5/18/2016 11:50:48,,,"Newell,Timothy",,"Beak, Kimberly  ",Smith
268,268,Microsoft,№268,Dreyfuss,"Newman,Elizabeth R.",work away from current-carrying parts,5/18/2016 11:56:49,Multi-storey apartment building.,5/27/2016 3:24:20,repair and construction team,EDMUND VAIL,"Anderson, Linda  ",No,EDMUND VAIL,5/18/2016 11:56:49,,,"Newman,Elizabeth R.",,"Beatrice, Courtney ",Jackson
269,269,Ford,№269,Hoffman,"Nichols,Joan M.",work with complete voltage relief,5/18/2016 11:57:43,Low-rise apartment building;,5/27/2016 10:36:04,technical department,ANDREW SAITZ,"Andreola, Colby",Yes,ANDREW SAITZ,5/18/2016 11:57:43,,,"Nichols,Joan M.",,"Becker, Renee",Fonda
270,270,Johnson&Johnson,№270,Henry ,"Nielsen,Jadine",work with partial voltage relief,5/18/2016 12:00:37,Residential building of a blocked development;,5/28/2016 11:36:27,repair and construction team,BONNIE TAYLOR,"Athwal, Sam",No,BONNIE TAYLOR,5/18/2016 12:00:37,,,"Nielsen,Jadine",,"Becker, Scott",Schell
271,271,General Motors,№271,Duvall,"Nionakis,Dimitri J.",work on current-carrying parts,5/18/2016 12:18:45,Mid-rise apartment building;,5/28/2016 13:57:49,technical department,ARNIE LEE,"Bachiochi, Linda",Yes,ARNIE LEE,5/18/2016 12:18:45,,,"Nionakis,Dimitri J.",,"Bernstein, Sean",Peck
272,272,Verizon Communications,№272,Burstyn,"Nolet,Stephen R.",work away from current-carrying parts,5/18/2016 12:28:26,Multi-storey apartment building.,5/28/2016 14:01:59,repair and construction team,DENNIS MARTINEZ,"Bacong, Alejandro ",No,DENNIS MARTINEZ,5/18/2016 12:28:26,,,"Nolet,Stephen R.",,"Biden, Lowan  M",Poitier
273,273,Morgan Stanley,№273,Dunaway,"Obrien,Thomas A.",work with complete voltage relief,5/18/2016 12:29:40,Low-rise apartment building;,5/18/2016 5:29:14,technical department,MITCHELL LEE,"Baczenski, Rachael  ",Yes,MITCHELL LEE,5/18/2016 12:29:40,,,"Obrien,Thomas A.",,"Billis, Helen",Harrison
274,274,MetLife,№274,Keaton,"Oconnor,Michael E.,Jr.",work with complete voltage relief,5/18/2016 12:35:10,Residential building of a blocked development;,5/18/2016 5:41:19,repair and construction team,FERDINAND CADELINA,"Barbara, Thomas",No,FERDINAND CADELINA,5/18/2016 12:35:10,,,"Oconnor,Michael E.,Jr.",,"Blount, Dianna",Marvin
275,275,PepsiCo,№275,Fonda,"Okeefe,Peter M.",work with partial voltage relief,5/18/2016 12:43:43,Mid-rise apartment building;,5/18/2016 5:42:39,technical department,DENIS OLEARY,"Barbossa, Hector",Yes,DENIS OLEARY,5/18/2016 12:43:43,,,"Okeefe,Peter M.",,"Bondwell, Betsy",Scofield
276,276,Cisco Systems,№276,Field,"Olmstead,Tracy S.",work on current-carrying parts,5/18/2016 12:47:44,Multi-storey apartment building.,5/18/2016 5:45:48,repair and construction team,NEREE DASTOUS,"Barone, Francesco  A",No,NEREE DASTOUS,5/18/2016 12:47:44,,,"Olmstead,Tracy S.",,"Booth, Frank",Steiger
277,277,Coca-Cola,№277,Spacek,"Pacific,Catherine R.",work away from current-carrying parts,5/18/2016 13:09:29,Low-rise apartment building;,5/18/2016 5:47:41,technical department,PERRY LEONG,"Barton, Nader",Yes,PERRY LEONG,5/18/2016 13:09:29,,,"Pacific,Catherine R.",,"Boutwell, Bonalyn",Wayne
278,278,Intel,№278,Lange,"Palmieri,Jennifer M.",work with complete voltage relief,5/18/2016 13:14:18,Residential building of a blocked development;,5/18/2016 5:49:21,repair and construction team,LOUIS CASSANEGO,"Bates, Norman",No,LOUIS CASSANEGO,5/18/2016 13:14:18,,,"Palmieri,Jennifer M.",,"Bozzi, Charles",Hackman
279,279,Comcast,№279,Paltrow,"Parmelee,Carole A.",work with partial voltage relief,5/18/2016 13:20:41,Mid-rise apartment building;,5/18/2016 5:49:42,technical department,MELISSA LERMA,"Beak, Kimberly  ",Yes,MELISSA LERMA,5/18/2016 13:20:41,,,"Parmelee,Carole A.",,"Brill, Donna",Brando
280,280,Kraft Foods,№280,Berry,"Pasquil,Simeona F.",work on current-carrying parts,5/18/2016 13:26:22,Multi-storey apartment building.,5/18/2016 5:50:59,repair and construction team,RAYMOND CHAVEZ,"Beatrice, Courtney ",No,RAYMOND CHAVEZ,5/18/2016 13:26:22,,,"Pasquil,Simeona F.",,"Brown, Mia",Lemmon
281,281,UnitedHealth Group,№281,Kidman,"Patterson,Aaron P.",work away from current-carrying parts,5/18/2016 13:27:16,Low-rise apartment building;,5/18/2016 5:52:27,technical department,FREDERICK BINKLEY,"Becker, Renee",Yes,FREDERICK BINKLEY,5/18/2016 13:27:16,,,"Patterson,Aaron P.",,"Buccheri, Joseph  ",Nicholson
282,282,Oracle,№282,Theron,"Paxton,Sally Patricia",work with complete voltage relief,5/18/2016 14:09:34,Residential building of a blocked development;,5/18/2016 5:29:14,repair and construction team,GUY GOODWIN,"Becker, Scott",No,GUY GOODWIN,5/18/2016 14:09:34,,,"Paxton,Sally Patricia",,"Bugali, Josephine ",Finch 
283,283,Walt Disney,№283,Obama,"Payne,Julia M.",work with partial voltage relief,5/18/2016 14:15:46,Mid-rise apartment building;,5/18/2016 5:41:19,technical department,JEFFREY ADACHI,"Bernstein, Sean",Yes,JEFFREY ADACHI,5/18/2016 14:15:46,,,"Payne,Julia M.",,"Bunbury, Jessica",Dreyfuss
284,284,United Technologies,№284,Black,"Peterson,Michelle M.",work on current-carrying parts,5/18/2016 14:18:29,Multi-storey apartment building.,5/18/2016 5:42:39,repair and construction team,BERGLIOTH MATHEWS,"Biden, Lowan  M",No,BERGLIOTH MATHEWS,5/18/2016 14:18:29,,,"Peterson,Michelle M.",,"Burke, Joelle",Hoffman
285,285,American Express,№285,Brown,"Pham,Dang T.",work away from current-carrying parts,5/18/2016 14:18:35,Low-rise apartment building;,5/18/2016 5:45:48,technical department,GARRET TOM,"Billis, Helen",Yes,GARRET TOM,5/18/2016 14:18:35,,,"Pham,Dang T.",,"Burkett, Benjamin ",Henry 
286,286,Prudential Financial,№286,Milland,"Pirozzi,Angelique",work with complete voltage relief,5/18/2016 14:22:02,Residential building of a blocked development;,5/18/2016 5:47:41,repair and construction team,JAMES MILLER,"Blount, Dianna",No,JAMES MILLER,5/18/2016 14:22:02,,,"Pirozzi,Angelique",,"Cady, Max ",Duvall
287,287,Boeing,№287,March,"Podesta,John D.",work with complete voltage relief,5/18/2016 14:22:58,Mid-rise apartment building;,5/18/2016 5:49:21,technical department,PAUL LEE,"Bondwell, Betsy",Yes,PAUL LEE,5/18/2016 14:22:58,,,"Podesta,John D.",,"Candie, Calvin",Burstyn
288,288,CVS Caremark,№288,Brynner,"Popp,Karen Ann",work with partial voltage relief,5/18/2016 14:27:25,Multi-storey apartment building.,5/18/2016 5:49:42,repair and construction team,TANGERINE BRIGHAM,"Booth, Frank",No,TANGERINE BRIGHAM,5/18/2016 14:27:25,,,"Popp,Karen Ann",,"Carabbio, Judith",Dunaway
289,289,Google,№289,Crawford,"Pribulsky,Jaycee A.",work on current-carrying parts,5/18/2016 14:27:31,Low-rise apartment building;,5/18/2016 5:50:59,technical department,PABLO SIGUENZA,"Boutwell, Bonalyn",Yes,PABLO SIGUENZA,5/18/2016 14:27:31,,,"Pribulsky,Jaycee A.",,"Carey, Michael  ",Keaton
290,290,Abbott Labaratories,№290,Wyman,"Pushkar,Alice J.",work away from current-carrying parts,5/18/2016 14:33:38,Residential building of a blocked development;,5/18/2016 5:52:27,repair and construction team,DANIEL CUNNINGHAM,"Bozzi, Charles",No,DANIEL CUNNINGHAM,5/18/2016 14:33:38,,,"Pushkar,Alice J.",,"Carr, Claudia  N",Fonda
291,291,U.S Bancorp,№291,Magnani,"Rabner,Nicole R.",work with complete voltage relief,5/18/2016 14:37:56,Mid-rise apartment building;,5/18/2016 6:03:51,technical department,JIMMIE LEW,"Brill, Donna",Yes,JIMMIE LEW,5/18/2016 14:37:56,,,"Rabner,Nicole R.",,"Carter, Michelle ",Field
292,292,Caterpillar,№292,Hepburn,"Racine,Karl A.",work with partial voltage relief,5/18/2016 14:52:26,Multi-storey apartment building.,5/18/2016 6:21:19,repair and construction team,DEBBIE TAM,"Brown, Mia",No,DEBBIE TAM,5/18/2016 14:52:26,,,"Racine,Karl A.",,"Chace, Beatrice ",Spacek
